site_id,label,ml_um,ap_um,dv_um,allen_region_id,acronym,mean_firing_rate_hz,good_unit_count
67,ch066-067,-2580.0,-5125.0,-5582.0,-101,VCO,12.0022132396698,2
65,ch064-065,-2584.0,-5125.0,-5601.0,-101,VCO,6.7518768310546875,2
63,ch062-063,-2588.0,-5125.0,-5621.0,-101,VCO,9.585485816001892,3
61,ch060-061,-2591.0,-5125.0,-5640.0,-101,VCO,21.098265171051025,2
59,ch058-059,-2594.0,-5125.0,-5660.0,-101,VCO,8.230175018310547,1
57,ch056-057,-2597.0,-5125.0,-5679.0,-101,VCO,65.49533081054688,1
55,ch054-055,-2600.0,-5125.0,-5698.0,-101,VCO,,0
53,ch052-053,-2603.0,-5125.0,-5718.0,-101,VCO,,0
51,ch050-051,-2606.0,-5125.0,-5737.0,-101,VCO,17.988658269246418,3
49,ch048-049,-2609.0,-5125.0,-5757.0,-101,VCO,16.82803686459859,3
47,ch046-047,-2612.0,-5125.0,-5776.0,-101,VCO,,0
45,ch044-045,-2615.0,-5125.0,-5796.0,-101,VCO,,0
43,ch042-043,-2618.0,-5125.0,-5815.0,-101,VCO,63.48142433166504,2
41,ch040-041,-2621.0,-5125.0,-5835.0,-101,VCO,23.59025764465332,1
39,ch038-039,-2624.0,-5125.0,-5854.0,-101,VCO,,0
37,ch036-037,-2627.0,-5125.0,-5873.0,-101,VCO,51.566951751708984,1
35,ch034-035,-2630.0,-5125.0,-5893.0,-101,VCO,,0
33,ch032-033,-2633.0,-5125.0,-5912.0,-101,VCO,,0
31,ch030-031,-2636.0,-5125.0,-5932.0,-101,VCO,,0
29,ch028-029,-2639.0,-5124.0,-5951.0,-101,VCO,,0
27,ch026-027,-2643.0,-5123.0,-5970.0,-101,VCO,,0
25,ch024-025,-2646.0,-5122.0,-5990.0,-101,VCO,,0
23,ch022-023,-2650.0,-5121.0,-6009.0,-101,VCO,53.0904541015625,1
21,ch020-021,-2653.0,-5120.0,-6028.0,-101,VCO,,0
19,ch018-019,-2657.0,-5119.0,-6048.0,-101,VCO,,0
17,ch016-017,-2660.0,-5118.0,-6067.0,-101,VCO,,0
15,ch014-015,-2664.0,-5117.0,-6087.0,-101,VCO,32.955565452575684,2
13,ch012-013,-2667.0,-5116.0,-6106.0,-101,VCO,,0
11,ch010-011,-2671.0,-5115.0,-6125.0,-101,VCO,38.67190170288086,1
9,ch008-009,-2674.0,-5114.0,-6145.0,-101,VCO,34.310333251953125,1
7,ch006-007,-2678.0,-5113.0,-6164.0,-101,VCO,19.38045883178711,1
5,ch004-005,-2681.0,-5112.0,-6183.0,-354,MY,40.733917236328125,1
3,ch002-003,-2685.0,-5112.0,-6203.0,-354,MY,,0
1,ch000-001,-2688.0,-5111.0,-6222.0,-354,MY,3.93949556350708,1
